Season	Week	Team	Elo	IsPlayoff
2017	1	Simi	1461.05	0
2017	1	Tommy	1418.60	0
2017	2	Benni	1481.48	0
2017	2	Erik	1509.88	0
2017	2	Juschka	1472.86	0
2017	2	Kessi	1520.44	0
2017	2	Marv	1563.05	0
2017	2	Ritz	1541.18	0
2017	2	Simi	1467.56	0
2017	2	Tommy	1443.55	0
2017	3	Benni	1498.33	0
2017	3	Erik	1486.11	0
2017	3	Juschka	1469.06	0
2017	3	Kessi	1503.60	0
2017	3	Marv	1566.85	0
2017	3	Ritz	1545.13	0
2017	3	Simi	1463.61	0
2017	3	Tommy	1467.32	0
2017	4	Benni	1492.83	0
2017	4	Erik	1509.47	0
2017	4	Juschka	1463.63	0
2017	4	Kessi	1509.02	0
2017	4	Marv	1557.68	0
2017	4	Ritz	1521.77	0
2017	4	Simi	1469.11	0
2017	4	Tommy	1476.49	0
2017	5	Benni	1506.86	0
2017	5	Erik	1495.44	0
2017	5	Juschka	1477.94	0
2017	5	Kessi	1492.34	0
2017	5	Marv	1574.36	0
2017	5	Ritz	1528.34	0
2017	5	Simi	1454.80	0
2017	5	Tommy	1469.92	0
2017	6	Benni	1493.25	0
2017	6	Erik	1483.16	0
2017	6	Juschka	1487.63	0
2017	6	Kessi	1470.19	0
2017	6	Marv	1586.64	0
2017	6	Ritz	1541.96	0
2017	6	Simi	1476.96	0
2017	6	Tommy	1460.22	0
2017	7	Benni	1510.68	0
2017	7	Erik	1502.41	0
2017	7	Juschka	1470.20	0
2017	7	Kessi	1450.93	0
2017	7	Marv	1571.64	0
2017	7	Ritz	1556.96	0
2017	7	Simi	1455.99	0
2017	7	Tommy	1481.18	0
2017	8	Benni	1490.21	0
2017	8	Erik	1522.89	0
2017	8	Juschka	1460.56	0
2017	8	Kessi	1472.67	0
2017	8	Marv	1560.56	0
2017	8	Ritz	1568.04	0
2017	8	Simi	1465.63	0
2017	8	Tommy	1459.45	0
2017	9	Benni	1499.59	0
2017	9	Erik	1516.09	0
2017	9	Juschka	1457.06	0
2017	9	Kessi	1463.28	0
2017	9	Marv	1567.36	0
2017	9	Ritz	1571.54	0
2017	9	Simi	1470.54	0
2017	9	Tommy	1454.53	0
2017	10	Benni	1490.13	0
2017	10	Erik	1532.72	0
2017	10	Juschka	1440.42	0
2017	10	Kessi	1454.47	0
2017	10	Marv	1579.71	0
2017	10	Ritz	1580.36	0
2017	10	Simi	1480.00	0
2017	10	Tommy	1442.18	0
2017	11	Benni	1506.93	0
2017	11	Erik	1516.48	0
2017	11	Juschka	1421.23	0
2017	11	Kessi	1473.66	0
2017	11	Marv	1562.91	0
2017	11	Ritz	1592.80	0
2017	11	Simi	1496.24	0
2017	11	Tommy	1429.74	0
2017	12	Benni	1531.77	0
2017	12	Erik	1498.21	0
2017	12	Juschka	1401.72	0
2017	12	Kessi	1491.93	0
2017	12	Marv	1548.42	0
2017	12	Ritz	1567.95	0
2017	12	Simi	1510.73	0
2017	12	Tommy	1449.25	0
2017	13	Benni	1504.65	0
2017	13	Erik	1515.27	0
2017	13	Juschka	1428.85	0
2017	13	Kessi	1513.84	0
2017	13	Marv	1526.51	0
2017	13	Ritz	1553.36	0
2017	13	Simi	1525.33	0
2017	13	Tommy	1432.20	0
2017	14	Benni	1508.62	0
2017	14	Erik	1528.82	0
2017	14	Juschka	1435.22	0
2017	14	Kessi	1494.50	0
2017	14	Marv	1520.15	0
2017	14	Ritz	1539.81	0
2017	14	Simi	1544.66	0
2017	14	Tommy	1428.22	0
2017	15	Benni	1489.22	1
2017	15	Erik	1551.51	1
2017	15	Juschka	1462.49	1
2017	15	Kessi	1468.35	1
2017	15	Marv	1492.87	1
2017	15	Ritz	1517.12	1
2017	15	Simi	1564.06	1
2017	15	Tommy	1454.37	1
2017	16	Benni	1495.33	1
2017	16	Erik	1533.81	1
2017	16	Juschka	1439.98	1
2017	16	Kessi	1468.74	1
2017	16	Marv	1492.48	1
2017	16	Ritz	1511.01	1
2017	16	Simi	1581.77	1
2017	16	Tommy	1476.88	1
2018	1	Benni	1484.77	0
2018	1	Erik	1519.16	0
2018	1	Juschka	1477.24	0
2018	1	Kessi	1461.68	0
2018	1	Marv	1472.11	0
2018	1	Ritz	1519.99	0
2018	1	Simi	1567.52	0
2018	1	Tommy	1497.54	0
2018	2	Benni	1500.59	0
2018	2	Erik	1504.78	0
2018	2	Juschka	1483.51	0
2018	2	Kessi	1445.86	0
2018	2	Marv	1454.84	0
2018	2	Ritz	1537.25	0
2018	2	Simi	1561.25	0
2018	2	Tommy	1511.92	0
2018	3	Benni	1517.98	0
2018	3	Erik	1492.70	0
2018	3	Juschka	1495.59	0
2018	3	Kessi	1431.00	0
2018	3	Marv	1437.46	0
2018	3	Ritz	1552.11	0
2018	3	Simi	1538.43	0
2018	3	Tommy	1534.74	0
2018	4	Benni	1538.94	0
2018	4	Erik	1499.92	0
2018	4	Juschka	1488.01	0
2018	4	Kessi	1423.77	0
2018	4	Marv	1445.14	0
2018	4	Ritz	1559.69	0
2018	4	Simi	1530.75	0
2018	4	Tommy	1513.77	0
2018	5	Benni	1556.70	0
2018	5	Erik	1482.16	0
2018	5	Juschka	1469.49	0
2018	5	Kessi	1406.12	0
2018	5	Marv	1462.79	0
2018	5	Ritz	1567.61	0
2018	5	Simi	1522.83	0
2018	5	Tommy	1532.29	0
2018	6	Benni	1550.20	0
2018	6	Erik	1461.49	0
2018	6	Juschka	1475.99	0
2018	6	Kessi	1397.12	0
2018	6	Marv	1483.46	0
