block_id,week,teams,players,values
129,8,Fetti EV,Marvin Jones · WR · CIN; Donte Moncrief · WR · IND,
130,8,Kessinho10,Nate Washington · WR · HOU; Minnesota Vikings · DEF · MIN,
131,8,oG United,Jordan Reed · TE · WAS; Delanie Walker · TE · TEN,-4.39
132,8,WhoDatNation,Miami Dolphins · DEF · MIA; Rashad Jennings · RB · NYG,
133,8,Promille Boords,Stefon Diggs · WR · HOU,
134,8,Die Punter,Arian Foster · RB · FA,
135,7,colin's edelmaenner,Andy Dalton · QB · CIN; Marcus Mariota · QB · TEN,
136,7,Promille Boords,Jonathan Stewart · RB · CAR; Mike Wallace · WR · MIN,
137,7,Fetti EV,Ladarius Green · TE · LAC; Christine Michael · RB · FA,
138,7,WhoDatNation|Promille Boords,Darren McFadden · RB · DAL; Jarvis Landry · WR · MIA; Darren McFadden · RB · DAL; Jarvis Landry · WR · MIA,-10.72;10.72
139,7,Kessinho10,Brandon LaFell · WR · FA; Andy Dalton · QB · CIN,
140,7,Promille Boords,Cairo Santos · K · KC,-5.63
141,7,Promille Boords,Cairo Santos · K · KC; Ryan Mathews · RB · PHI,5.63
142,7,oG United,Delanie Walker · TE · TEN,40.69
143,7,Fetti EV,Buffalo Bills · DEF · BUF; Eli Manning · QB · NYG,
144,7,WhoDatNation,Ben Watson · TE · NO; Richard Rodgers · TE · GB,3.81
145,7,Die Punter,Dan Carpenter · K · BUF; C.J. Anderson · RB · DEN,
146,7,Promille Boords,Atlanta Falcons · DEF · ATL; Detroit Lions · DEF · DET,
147,7,oG United,Lamar Miller · RB · MIA; Isaiah Crowell · RB · CLE,38.13
148,7,WhoDatNation,Rashad Jennings · RB · NYG; Vincent Jackson · WR · TB,
149,7,Fetti EV,Martavis Bryant · WR · FA; Charcandrick West · RB · FA,-3.25
150,7,Promille Boords,Allen Hurns · WR · JAX; Jordan Matthews · TE · PHI,-14.38
151,7,Promille Boords,Bishop Sankey · RB · TEN,
152,7,Promille Boords|oG United,Darren McFadden · RB · DAL; LeGarrette Blount · RB · FA; Julius Thomas · TE · FA; Mark Ingram · RB · NO; Chris Ivory · RB · NYJ; Darren McFadden · RB · DAL; LeGarrette Blount · RB · FA; Julius Thomas · TE · FA; Mark Ingram · RB · NO; Chris Ivory · RB · NYJ,-15.12;15.12
153,6,Fetti EV,Christine Michael · RB · FA; Delanie Walker · TE · TEN,-49.64
154,6,oG United,Isaiah Crowell · RB · CLE; Duke Johnson · RB · CLE,
155,6,colin's edelmaenner,DeSean Jackson · WR · WAS; Rishard Matthews · WR · MIA,
156,6,Promille Boords,Detroit Lions · DEF · DET; Cincinnati Bengals · DEF · CIN,-8.25
157,6,oG United,Duke Johnson · RB · CLE,
158,6,Promille Boords,Mike Wallace · WR · MIN; Kendall Wright · WR · TEN,
159,6,Kessinho10,Minnesota Vikings · DEF · MIN; Marquess Wilson · WR · CHI,
160,6,WhoDatNation,Richard Rodgers · TE · GB; Dan Bailey · K · DAL,
161,6,Kessinho10,Marquess Wilson · WR · CHI; Golden Tate · WR · DET,
162,6,Fetti EV,Eli Manning · QB · NYG; Peyton Manning · QB · DEN,
163,6,WhoDatNation,Chandler Catanzaro · K · ARI; Baltimore Ravens · DEF · BAL,4.13
164,6,Die Punter,Giovani Bernard · RB · CIN; Atlanta Falcons · DEF · ATL,
165,6,Promille Boords,Gary Barnidge · TE · CLE; Richard Rodgers · TE · GB,19.11
166,6,Amari and Dorial GmbH,David Johnson · RB · ARI; Lamar Miller · RB · MIA,-35.55
167,6,oG United,Jamaal Charles · RB · KC,
168,5,colin's edelmaenner,Pierre Garcon · WR · WAS; Jordan Reed · TE · WAS,-40.05
169,5,oG United,Ben Roethlisberger · QB · PIT,
170,5,Die Punter,C.J. Anderson · RB · DEN; Nelson Agholor · WR · PHI,
171,5,Amari and Dorial GmbH,Danny Woodhead · RB · LAC; Tevin Coleman · RB · ATL,26.03
