Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
6	46	6	Kessi	Kyler Murray	QB	ARI
6	47	7	Benni	Chris Godwin	WR	TB
6	48	8	Erik	Robert Woods	WR	TEN
7	49	1	Erik	T.J. Hockenson	TE	DET
7	50	2	Benni	Kyle Pitts	TE	ATL
7	51	3	Kessi	Cooper Kupp	WR	LAC
7	52	4	Tommy	D.J. Moore	WR	CAR
7	53	5	Marv	Kenny Golladay	WR	NYG
7	54	6	Ritz	Adam Thielen	WR	MIN
7	55	7	Simi	Carolina Panthers	DST	CAR
7	56	8	Juschka	Mitchell Trubisky	QB	PIT
8	57	1	Juschka	Andy Dalton	QB	NO
8	58	2	Simi	Raheem Mostert	RB	MIA
8	59	3	Ritz	Aaron Rodgers	QB	GB
8	60	4	Marv	Myles Gaskin	RB	MIA
8	61	5	Tommy	Chase Claypool	WR	PIT
8	62	6	Kessi	Tee Higgins	WR	CIN
8	63	7	Benni	Dak Prescott	QB	DAL
8	64	8	Erik	Mike Davis	RB	ATL
9	65	1	Erik	Brandon Aiyuk	WR	SF
9	66	2	Benni	Kareem Hunt	RB	CLE
9	67	3	Kessi	Damien Harris	RB	NE
9	68	4	Tommy	Justin Herbert	QB	LAC
9	69	5	Marv	Travis Etienne	RB	JAX
9	70	6	Ritz	Tyler Lockett	WR	SEA
9	71	7	Simi	Odell Beckham Jr.	WR	LA
9	72	8	Juschka	Gardner Minshew	QB	PHI
10	73	1	Juschka	Kaâ€™imi Fairbairn	K	HOU
10	74	2	Simi	Courtland Sutton	WR	DEN
10	75	3	Ritz	Ja'Marr Chase	WR	CIN
10	76	4	Marv	JuJu Smith-Schuster	WR	KC
10	77	5	Tommy	Jerry Jeudy	WR	DEN
10	78	6	Kessi	Will Fuller	WR	MIA
10	79	7	Benni	Javonte Williams	RB	DEN
10	80	8	Erik	Chase Edmonds	RB	MIA
11	81	1	Erik	Brandin Cooks	WR	HOU
11	82	2	Benni	Ronald Jones	RB	KC
11	83	3	Kessi	Robert Tonyan	TE	GB
11	84	4	Tommy	James Robinson	RB	JAX
11	85	5	Marv	Wil Lutz	K	NO
11	86	6	Ritz	Rob Gronkowski	TE	TB
11	87	7	Simi	Deebo Samuel	WR	SF
11	88	8	Juschka	Adrian Peterson	RB	SEA
12	89	1	Juschka	Stephen Gostkowski	K	
12	90	2	Simi	Melvin Gordon	RB	DEN
12	91	3	Ritz	DeVonta Smith	WR	PHI
12	92	4	Marv	Baltimore Ravens	DST	BAL
12	93	5	Tommy	James Conner	RB	ARI
12	94	6	Kessi	Justin Tucker	K	BAL
12	95	7	Benni	David Johnson	RB	HOU
12	96	8	Erik	Zack Moss	RB	BUF
13	97	1	Erik	Matthew Stafford	QB	LA
13	98	2	Benni	Ryan Tannehill	QB	TEN
13	99	3	Kessi	Tony Pollard	RB	DAL
13	100	4	Tommy	San Francisco 49ers	DST	SF
13	101	5	Marv	Laviska Shenault Jr.	WR	JAX
13	102	6	Ritz	Harrison Butker	K	KC
13	103	7	Simi	Sam Ficken	K	TEN
13	104	8	Juschka	Keelan Cole	WR	NYJ
14	105	1	Juschka	Nick Folk	K	NE
14	106	2	Simi	Robby Anderson	WR	CAR
14	107	3	Ritz	Pittsburgh Steelers	DST	PIT
14	108	4	Marv	Leonard Fournette	RB	TB
14	109	5	Tommy	Trey Sermon	RB	SF
14	110	6	Kessi	Noah Fant	TE	SEA
14	111	7	Benni	Michael Pittman	WR	IND
14	112	8	Erik	Mike Williams	WR	LAC
15	113	1	Erik	Gus Edwards	RB	BAL
15	114	2	Benni	Los Angeles Rams	DST	LA
15	115	3	Kessi	Tyler Higbee	TE	LA
15	116	4	Tommy	Younghoe Koo	K	ATL
15	117	5	Marv	Jaylen Waddle	WR	MIA
15	118	6	Ritz	Tom Brady	QB	TB
15	119	7	Simi	Russell Wilson	QB	DEN
15	120	8	Juschka	Graham Gano	K	NYG
