Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
8	64	8	Tommy	George Pickens	WR	DAL
9	65	1	Tommy	Aaron Jones	RB	MIN
9	66	2	Juschka	Baker Mayfield	QB	TB
9	67	3	Ritz	Travis Kelce	TE	KC
9	68	4	Simi	Tony Pollard	RB	TEN
9	69	5	Benni	Jameson Williams	WR	DET
9	70	6	Erik	DeVonta Smith	WR	PHI
9	71	7	Kessi	Jaylen Waddle	WR	MIA
9	72	8	Marv	Chris Olave	WR	NO
10	73	1	Marv	Tyrone Tracy	RB	NYG
10	74	2	Kessi	Quinshon Judkins	RB	CLE
10	75	3	Erik	Chris Godwin	WR	TB
10	76	4	Benni	Tetairoa McMillan	WR	CAR
10	77	5	Simi	Jordan Addison	WR	MIN
10	78	6	Ritz	Brian Robinson	RB	SF
10	79	7	Juschka	Mark Andrews	TE	BAL
10	80	8	Tommy	Rome Odunze	WR	CHI
11	81	1	Tommy	Brandon Aiyuk	WR	SF
11	82	2	Juschka	Travis Etienne	RB	JAX
11	83	3	Ritz	Jaylen Warren	RB	PIT
11	84	4	Simi	Jonnu Smith	TE	PIT
11	85	5	Benni	T.J. Hockenson	TE	MIN
11	86	6	Erik	Najee Harris	RB	LAC
11	87	7	Kessi	Rhamondre Stevenson	RB	NE
11	88	8	Marv	Jerry Jeudy	WR	CLE
12	89	1	Marv	Javonte Williams	RB	DAL
12	90	2	Kessi	Khalil Shakir	WR	BUF
12	91	3	Erik	Deebo Samuel	WR	WAS
12	92	4	Benni	Cam Skattebo	RB	NYG
12	93	5	Simi	Zach Charbonnet	RB	SEA
12	94	6	Ritz	Pittsburgh Steelers	DST	PIT
12	95	7	Juschka	Jayden Reed	WR	GB
12	96	8	Tommy	Justin Herbert	QB	LAC
13	97	1	Tommy	Tank Bigsby	RB	PHI
13	98	2	Juschka	Tyjae Spears	RB	TEN
13	99	3	Ritz	Ricky Pearsall	WR	SF
13	100	4	Simi	Rachaad White	RB	TB
13	101	5	Benni	Denver Broncos	DST	DEN
13	102	6	Erik	David Njoku	TE	CLE
13	103	7	Kessi	Brandon Aubrey	K	DAL
13	104	8	Marv	Washington Commanders	DST	WAS
14	105	1	Marv	Cooper Kupp	WR	SEA
14	106	2	Kessi	J.K. Dobbins	RB	DEN
14	107	3	Erik	Jordan Mason	RB	MIN
14	108	4	Benni	Jauan Jennings	WR	SF
14	109	5	Simi	Philadelphia Eagles	DST	PHI
14	110	6	Ritz	Isaac Guerendo	RB	SF
14	111	7	Juschka	Baltimore Ravens	DST	BAL
14	112	8	Tommy	Tyler Warren	TE	IND
15	113	1	Tommy	San Francisco 49ers	DST	SF
15	114	2	Juschka	Rico Dowdle	RB	CAR
15	115	3	Ritz	Cameron Dicker	K	LAC
15	116	4	Simi	Chris Boswell	K	PIT
15	117	5	Benni	Jake Bates	K	DET
15	118	6	Erik	Chase McLaughlin	K	TB
15	119	7	Kessi	Tampa Bay Buccaneers	DST	TB
15	120	8	Marv	Henry Ruggs	WR	
