Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
6	43	3	Simi	Jay Ajayi	RB	PHI
6	44	4	Ritz	Deshaun Watson	QB	HOU
6	45	5	Erik	Demaryius Thomas	WR	HOU
6	46	6	Benni	Josh Gordon	WR	NE
6	47	7	Kessi	Jarvis Landry	WR	CLE
6	48	8	Tommy	Amari Cooper	WR	DAL
7	49	1	Tommy	Tom Brady	QB	NE
7	50	2	Kessi	Carson Wentz	QB	PHI
7	51	3	Benni	Derrius Guice	RB	WAS
7	52	4	Erik	Lamar Miller	RB	HOU
7	53	5	Ritz	Zach Ertz	TE	PHI
7	54	6	Simi	Ronald Jones	RB	TB
7	55	7	Juschka	Drew Brees	QB	NO
7	56	8	Marv	Sony Michel	RB	NE
8	57	1	Erik	Jacksonville Jaguars	DST	JAX
8	58	2	Juschka	Marshawn Lynch	RB	LV
8	59	3	Simi	Jimmy Graham	TE	GB
8	60	4	Ritz	Golden Tate	WR	PHI
8	61	5	Erik	Alshon Jeffery	WR	PHI
8	62	6	Benni	Marvin Jones	WR	DET
8	63	7	Kessi	Brandin Cooks	WR	LA
8	64	8	Tommy	Chris Hogan	WR	NE
9	65	1	Tommy	Marlon Mack	RB	IND
9	66	2	Kessi	Royce Freeman	RB	DEN
9	67	3	Benni	Mark Ingram	RB	NO
9	68	4	Marv	Andrew Luck	QB	IND
9	69	5	Ritz	Pierre Gar̤on	WR	SF
9	70	6	Simi	Michael Crabtree	WR	BAL
9	71	7	Juschka	Greg Olsen	TE	CAR
9	72	8	Marv	Wil Lutz	K	NO
10	73	1	Marv	Evan Engram	TE	NYG
10	74	2	Juschka	Tevin Coleman	RB	ATL
10	75	3	Simi	Dion Lewis	RB	TEN
10	76	4	Ritz	Isaiah Crowell	RB	NYJ
10	77	5	Marv	Corey Davis	WR	TEN
10	78	6	Benni	Sammy Watkins	WR	KC
10	79	7	Kessi	Stephen Gostkowski	K	NE
10	80	8	Tommy	Los Angeles Rams	DST	LA
11	81	1	Tommy	Marquise Goodwin	WR	SF
11	82	2	Kessi	Baltimore Ravens	DST	BAL
11	83	3	Benni	Devin Funchess	WR	CAR
11	84	4	Erik	Robert Woods	WR	LA
11	85	5	Ritz	Chris Thompson	RB	WAS
11	86	6	Simi	Minnesota Vikings	DST	MIN
11	87	7	Juschka	Philadelphia Eagles	DST	PHI
11	88	8	Marv	Houston Texans	DST	HOU
12	89	1	Erik	Justin Tucker	K	BAL
12	90	2	Juschka	Julian Edelman	WR	NE
12	91	3	Simi	Matt Bryant	K	ATL
12	92	4	Ritz	Kerryon Johnson	RB	DET
12	93	5	Erik	DeVante Parker	WR	MIA
12	94	6	Benni	Los Angeles Chargers	DST	LAC
12	95	7	Kessi	Nick Chubb	RB	CLE
12	96	8	Tommy	Cooper Kupp	WR	LA
13	97	1	Tommy	Delanie Walker	TE	TEN
13	98	2	Kessi	Jamison Crowder	WR	WAS
13	99	3	Benni	Rex Burkhead	RB	NE
13	100	4	Erik	Jamaal Williams	RB	GB
13	101	5	Ritz	Emmanuel Sanders	WR	DEN
13	102	6	Simi	Devontae Booker	RB	DEN
13	103	7	Juschka	Duke Johnson	RB	CLE
13	104	8	Marv	Jordy Nelson	WR	LV
14	105	1	Marv	Jimmy Garoppolo	QB	SF
14	106	2	Juschka	Greg Zuerlein	K	LA
14	107	3	Simi	Sterling Shepard	WR	NYG
14	108	4	Ritz	Carlos Hyde	RB	JAX
14	109	5	Erik	C.J. Anderson	RB	LA
14	110	6	Benni	Trey Burton	TE	CHI
14	111	7	Kessi	Ben Roethlisberger	QB	PIT
14	112	8	Tommy	Kai Forbath	K	JAX
15	113	1	Tommy	Christian Hackenberg	QB	
15	114	2	Kessi	D.J. Moore	WR	CAR
15	115	3	Benni	Dez Bryant	WR	NO
15	116	4	Erik	Colin Kaepernick	QB	
15	117	5	Ritz	Denver Broncos	DST	DEN
15	118	6	Simi	Robert Griffin III	QB	BAL
15	119	7	Juschka	Jay Cutler	QB	
15	120	8	Marv	David Marvin	K	
