Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
6	41	1	Marv	Rachaad White	RB	TB
6	42	2	Kessi	David Montgomery	RB	DET
6	43	3	Tommy	Alvin Kamara	RB	NO
6	44	4	Benni	Jaylen Waddle	WR	MIA
6	45	5	Juschka	James Conner	RB	ARI
6	46	6	Simi	DJ Moore	WR	CHI
6	47	7	Ritz	Stefon Diggs	WR	NE
6	48	8	Erik	George Pickens	WR	DAL
7	49	1	Erik	Trey McBride	TE	ARI
7	50	2	Ritz	Mark Andrews	TE	BAL
7	51	3	Simi	Rhamondre Stevenson	RB	NE
7	52	4	Juschka	Michael Pittman	WR	IND
7	53	5	Benni	Malik Nabers	WR	NYG
7	54	6	Tommy	Aaron Jones	RB	MIN
7	55	7	Kessi	George Kittle	TE	SF
7	56	8	Marv	Zay Flowers	WR	BAL
8	57	1	Marv	Anthony Richardson	QB	IND
8	58	2	Kessi	Najee Harris	RB	LAC
8	59	3	Tommy	DeVonta Smith	WR	PHI
8	60	4	Benni	Tee Higgins	WR	CIN
8	61	5	Juschka	D'Andre Swift	RB	CHI
8	62	6	Simi	C.J. Stroud	QB	HOU
8	63	7	Ritz	Joe Burrow	QB	CIN
8	64	8	Erik	Raheem Mostert	RB	LV
9	65	1	Erik	Kyler Murray	QB	ARI
9	66	2	Ritz	Jonathon Brooks	RB	CAR
9	67	3	Simi	Zamir White	RB	LV
9	68	4	Juschka	Brian Robinson	RB	SF
9	69	5	Benni	Tank Dell	WR	HOU
9	70	6	Tommy	Keenan Allen	WR	LAC
9	71	7	Kessi	Tony Pollard	RB	TEN
9	72	8	Marv	Kyle Pitts	TE	ATL
10	73	1	Marv	Terry McLaurin	WR	WAS
10	74	2	Kessi	Calvin Ridley	WR	TEN
10	75	3	Tommy	Christian Watson	WR	GB
10	76	4	Benni	Devin Singletary	RB	NYG
10	77	5	Juschka	Christian Kirk	WR	HOU
10	78	6	Simi	Dalton Kincaid	TE	BUF
10	79	7	Ritz	Rashee Rice	WR	KC
10	80	8	Erik	Chris Godwin	WR	TB
11	81	1	Erik	Gus Edwards	RB	
11	82	2	Ritz	San Francisco 49ers	DEF	SF
11	83	3	Simi	Jayden Reed	WR	GB
11	84	4	Juschka	Tua Tagovailoa	QB	MIA
11	85	5	Benni	Javonte Williams	RB	DAL
11	86	6	Tommy	Austin Ekeler	RB	WAS
11	87	7	Kessi	Zack Moss	RB	
11	88	8	Marv	Diontae Johnson	WR	
12	89	1	Marv	Nick Chubb	RB	HOU
12	90	2	Kessi	Hollywood Brown	WR	KC
12	91	3	Tommy	Jaylen Warren	RB	PIT
12	92	4	Benni	Rome Odunze	WR	CHI
12	93	5	Juschka	Dak Prescott	QB	DAL
12	94	6	Simi	DeAndre Hopkins	WR	BAL
12	95	7	Ritz	Justin Tucker	K	
12	96	8	Erik	Chase Brown	RB	CIN
13	97	1	Erik	Jerome Ford	RB	CLE
13	98	2	Ritz	Valentino Ambrosio	K	
13	99	3	Simi	Baltimore Ravens	DEF	BAL
13	100	4	Juschka	Tyler Lockett	WR	TEN
13	101	5	Benni	Xavier Worthy	WR	KC
13	102	6	Tommy	Harrison Butker	K	KC
13	103	7	Kessi	Brandon Aubrey	K	DAL
13	104	8	Marv	Courtland Sutton	WR	DEN
14	105	1	Marv	Trey Benson	RB	ARI
14	106	2	Kessi	Blake Corum	RB	LAR
14	107	3	Tommy	Brock Purdy	QB	SF
14	108	4	Benni	Caleb Williams	QB	CHI
14	109	5	Juschka	Younghoe Koo	K	NYG
14	110	6	Simi	Jaxon Smith-Njigba	WR	SEA
14	111	7	Ritz	Noah Rauschenberg	K	
14	112	8	Erik	Dallas Cowboys	DEF	DAL
15	113	1	Erik	Jason Sanders	K	MIA
15	114	2	Ritz	Napoleon Maxwell	RB	
15	115	3	Simi	Ezekiel Elliott	RB	
15	116	4	Juschka	Rob Gronkowski	TE	
15	117	5	Benni	New York Jets	DEF	NYJ
15	118	6	Tommy	Brock Bowers	TE	LV
15	119	7	Kessi	Cleveland Browns	DEF	CLE
15	120	8	Marv	A.T. Perry	WR	DEN
