Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
12	96	8	Erik	Justin Tucker	K	
13	97	1	Erik	Justin Herbert	QB	LAC
13	98	2	Simi	Tyler Bass	K	BUF
13	99	3	Juschka	Rashaad Penny	RB	
13	100	4	Benni	Jaxon Smith-Njigba	WR	SEA
13	101	5	Marv	Michael Thomas	WR	
13	102	6	Ritz	Courtland Sutton	WR	DEN
13	103	7	Kessi	Zach Charbonnet	RB	SEA
13	104	8	Tommy	Antonio Gibson	RB	NE
14	105	1	Tommy	Zay Flowers	WR	BAL
14	106	2	Kessi	Daniel Carlson	K	LV
14	107	3	Ritz	Evan McPherson	K	CIN
14	108	4	Marv	Harrison Butker	K	KC
14	109	5	Benni	Younghoe Koo	K	NYG
14	110	6	Juschka	Elijah Mitchell	RB	KC
14	111	7	Simi	Trevor Lawrence	QB	JAX
14	112	8	Erik	Denver Broncos	DEF	DEN
15	113	1	Erik	Damien Harris	RB	
15	114	2	Simi	Allen Lazard	WR	NYJ
15	115	3	Juschka	Sam Ficken	K	
15	116	4	Benni	Evan Engram	TE	DEN
15	117	5	Marv	JuJu Smith-Schuster	WR	KC
15	118	6	Ritz	Devin Singletary	RB	NYG
15	119	7	Kessi	Gabe Davis	WR	BUF
15	120	8	Tommy	Brock Purdy	QB	SF
