Round	Overall	PickInRound	ManagerName	Player	Pos	NFLTeam
12	89	1	Erik	Giovani Bernard	RB	CIN
12	90	2	Ritz	Mason Crosby	K	GB
12	91	3	Simi	Cody Parkey	K	PHI
12	92	4	Kessi	Kevin White	WR	CHI
12	93	5	Tommy	Steven Hauschka	K	SEA
12	94	6	Benni	Matthew Stafford	QB	DET
12	95	7	Marv	Dan Bailey	K	DAL
12	96	8	Juschka	Ryan Mathews	RB	PHI
13	97	1	Juschka	Steve Smith	WR	BAL
13	98	2	Marv	Charles Johnson	WR	MIN
13	99	3	Benni	Delanie Walker	TE	TEN
13	100	4	Tommy	Marcus Mariota	QB	TEN
13	101	5	Kessi	Matt Bryant	K	ATL
13	102	6	Simi	Zach Ertz	TE	PHI
13	103	7	Ritz	Golden Tate	WR	DET
13	104	8	Erik	Baltimore Ravens	DST	BAL
14	105	1	Erik	Jordan Cameron	TE	MIA
14	106	2	Ritz	Colin Kaepernick	QB	SF
14	107	3	Simi	New England Patriots	DST	NE
14	108	4	Kessi	Indianapolis Colts	DST	IND
14	109	5	Tommy	San Francisco 49ers	DST	SF
14	110	6	Benni	Keenan Allen	WR	LAC
14	111	7	Marv	Brandon Marshall	WR	NYJ
14	112	8	Juschka	Vernon Davis	TE	DEN
15	113	1	Juschka	Randy Bullock	K	NYJ
15	114	2	Marv	New Orleans Saints	DST	NO
15	115	3	Benni	Justin Tucker	K	BAL
15	116	4	Tommy	T.J. Yeldon	RB	JAC
15	117	5	Kessi	Todd Gurley	RB	STL
15	118	6	Simi	Joseph Randle	RB	-
15	119	7	Ritz	Andre Williams	RB	NYG
15	120	8	Erik	Breshad Perriman	WR	BAL
