Season,Week,Points.11,TE,BN.1,RB,Points.1,WR.1,K,BN.4,Points.14,Points.20,BN.13,BN.3,Opponent Total,Points.10,BN.10,Points.7,Points.18,Total,Points.5,WR,Rank,Points.8,BN.5,Points.16,BN.7,Points.17,Points.15,Points.21,Points.22,Owner,BN.9,RES.1,BN.11,Points.3,BN,Points,Points.13,BN.2,Points.12,Points.2,QB,Points.4,RES,Opponent,DEF,Points.9,BN.6,BN.8,Points.19,W/R,RB.1,BN.12,Points.6
2024,15,6.0,T. Kraft TE - GB,M. Nabers WR - NYG,B. Robinson RB - ATL,13.5,T. Higgins WR - CIN,W. Reichard K - MIN,Bills DEF,0.0,,,T. Tracy RB - NYG,77.16,14.2,,15.9,,119.74,3.4,J. Smith-Njigba WR - SEA,3,6.0,D. Njoku TE - CLE,,,,,,,Benni,,,,8.3,J. Hurts QB - PHI,23.64,1.0,C. Ridley WR - TEN,3.5,23.4,J. Daniels QB - WAS,14.8,,Kessi,Ravens DEF,28.1,,,,J. Jeudy WR - CLE,J. Gibbs RB - DET,,10.8
2024,15,2.5,G. Kittle TE - SF,M. Valdes-Scantling WR - SF,D. Montgomery RB - DET,3.5,C. Kupp WR - SEA,B. Aubrey K - DAL,N. Harris RB - LAC,0.0,,,T. Benson RB - ARI,119.74,6.8,,16.8,,77.16,6.1,J. Chase WR - CIN,8,8.0,J. Waddle WR - MIA,,,,0.0,,,Kessi,,,,9.4,C. Sutton WR - DEN,15.76,2.1,Z. Ertz TE - WAS,2.2,9.1,P. Mahomes QB - KC,0.0,,Benni,Eagles DEF,9.2,C. Olave WR - NO,,,T. Pollard RB - TEN,J. Taylor RB - IND,,8.5
2024,15,7.0,J. Smith TE - PIT,R. Stevenson RB - NE,D. Henry RB - BAL,6.7,M. Evans WR - TB,C. Boswell K - PIT,J. Reed WR - GB,1.9,,,Steelers DEF,87.18,8.5,,9.6,,116.9,10.8,C. Lamb WR - DAL,4,8.0,D. Samuel WR - WAS,,,,,,,Simi,,,,17.6,J. Goff QB - DET,13.8,6.1,D. Moore WR - CHI,7.0,17.6,J. Herbert QB - LAC,27.9,,Juschka,Vikings DEF,41.06,,,,C. Hubbard RB - CAR,J. Jacobs RB - GB,,4.9
2024,15,8.5,C. Otton TE - TB,D. Swift RB - CHI,J. Conner RB - ARI,25.8,J. Jefferson WR - MIN,J. Sanders K - MIA,I. Davis RB - NYJ,0.9,,,M. Pittman WR - IND,116.9,8.9,,9.1,,87.18,2.4,D. London WR - ATL,6,5.0,N. Westbrook-Ikhine WR - MIA,,,,,,,Juschka,,,,11.3,G. Wilson WR - NYJ,3.98,2.6,T. Etienne RB - JAX,3.8,7.6,B. Purdy QB - SF,13.3,,Simi,Cardinals DEF,11.6,,,,B. Robinson RB - SF,D. Achane RB - MIA,,8.7
2024,15,11.1,M. Andrews TE - BAL,B. Irving RB - TB,I. Guerendo RB - SF,7.5,T. Hill WR - MIA,Y. Koo K - NYG,P. Taylor RB - SF,0.0,,,D. Metcalf WR - PIT,79.94,11.3,,9.8,,87.34,8.4,J. Addison WR - MIN,5,19.0,K. Walker RB - SEA,,,,,,,Ritz,,,,6.3,L. McConkey WR - LAC,16.84,0.0,S. LaPorta TE - DET,2.8,11.2,J. Burrow QB - CIN,3.6,,Erik,Bengals DEF,11.8,,,,I. Pacheco RB - KC,K. Williams RB - LAR,,4.7
2024,15,10.06,T. McBride TE - ARI,Chiefs DEF,J. Mixon RB - HOU,5.6,P. Nacua WR - LAR,J. Bates K - DET,S. McCormick RB - SF,0.0,,,M. Harrison WR - ARI,87.34,21.0,,6.0,,79.94,8.7,J. Jennings WR - SF,7,6.0,C. McCaffrey RB - SF,,,,0.0,,,Erik,,,,3.1,B. Mayfield QB - TB,3.84,2.5,K. Murray QB - ARI,3.2,23.3,T. Tagovailoa QB - MIA,10.8,,Ritz,Commanders DEF,28.02,G. Pickens WR - DAL,,,Z. Charbonnet RB - SEA,C. Brown RB - CIN,,12.6
2024,15,14.9,T. Kelce TE - KC,D. Smith WR - PHI,S. Barkley RB - PHI,7.4,N. Collins WR - HOU,C. Dicker K - LAC,T. Dell WR - HOU,3.5,,,K. Allen WR - LAC,164.08,17.0,,6.1,,119.9,2.7,A. St. Brown WR - DET,2,1.0,B. Bowers TE - LV,,,,,,,Tommy,,,,23.3,B. Thomas WR - JAX,36.1,4.1,R. Dowdle RB - CAR,14.2,16.6,L. Jackson QB - BAL,13.7,,Marv,Seahawks DEF,22.5,,,,A. Kamara RB - NO,A. Jones RB - MIN,,13.0
2024,15,9.4,T. Hockenson TE - MIN,R. White RB - TB,J. Cook RB - BUF,25.3,A. Brown WR - PHI,T. Bass K - BUF,K. Hunt RB - KC,2.1,,,Z. Flowers WR - BAL,119.9,12.1,,15.1,,164.08,5.2,D. Adams WR - LAR,1,-4.0,N. Chubb RB - HOU,,,,,,,Marv,,,,33.8,B. Nix QB - DEN,41.28,4.9,K. Fairbairn K - HOU,5.3,11.1,J. Allen QB - BUF,17.0,,Tommy,Lions DEF,13.5,,,,T. McLaurin WR - WAS,B. Hall RB - NYJ,,19.3
2024,16,6.5,D. Njoku TE - CLE,T. Tracy RB - NYG,B. Robinson RB - ATL,22.3,T. Higgins WR - CIN,C. McLaughlin K - TB,P. Taylor RB - SF,2.0,,,Broncos DEF,112.96,12.9,,7.5,,110.94,6.6,M. Nabers WR - NYG,7,14.0,J. Jeudy WR - CLE,,,,1.6,,,Benni,,,,6.8,J. Daniels QB - WAS,4.54,2.5,T. Kraft TE - GB,3.0,21.4,J. Hurts QB - PHI,11.8,,Marv,Bills DEF,34.42,P. Freiermuth TE - PIT,,,J. Smith-Njigba WR - SEA,J. Gibbs RB - DET,,16.0
2024,16,7.0,T. Hockenson TE - MIN,K. Fairbairn K - HOU,J. Cook RB - BUF,24.6,A. Brown WR - PHI,T. Bass K - BUF,R. White RB - TB,0.0,,,Colts DEF,110.94,8.1,,8.0,,112.96,2.7,D. Adams WR - LAR,5,17.0,B. Snell RB,,,,,,,Marv,,,,12.8,Z. Flowers WR - BAL,11.16,4.0,Lions DEF,6.0,9.0,J. Allen QB - BUF,15.7,,Benni,Packers DEF,10.3,,,,T. McLaurin WR - WAS,B. Hall RB - NYJ,,12.0
