season,team,wins,losses,ties,points_for,points_against,points_share_avg,opp_points_share_avg,high_scores,top_scores,top_half_scores,worst_scores,bottom_scores,bottom_half_scores,blowout_wins,blowout_losses,narrow_wins,narrow_losses,all_play_wins,all_play_losses,games,win_pct,all_play_win_pct,winning_record,losing_record,sos_avg_opp_points
2017,Simi,11,3,0,1489.68,1354.76,0.5228654664978545,0.4771345335021455,3,10,10,0,0,4,2,1,4,1,72.0,26.0,14,0.7857142857142857,0.7346938775510204,True,False,1289.7628571428572
2017,Tommy,5,9,0,1306.76,1280.82,0.5006988117486163,0.49930118825138375,2,6,8,3,5,6,4,2,0,2,49.0,49.0,14,0.35714285714285715,0.5,False,True,1315.8942857142858
2018,Benni,10,4,0,1709.76,1416.24,0.5477645767954509,0.4522354232045491,4,10,11,0,3,3,6,0,0,2,70.0,28.0,14,0.7142857142857143,0.7142857142857143,True,False,1456.9057142857143
2018,Erik,5,9,0,1551.1,1589.32,0.4958287875014293,0.5041712124985708,1,4,7,0,4,7,3,3,0,1,51.0,47.0,14,0.35714285714285715,0.5204081632653061,False,True,1479.5714285714287
2018,Juschka,9,5,0,1591.48,1486.98,0.5170553195303641,0.4829446804696359,2,8,11,1,1,3,3,1,3,0,65.0,33.0,14,0.6428571428571429,0.6632653061224489,True,False,1473.802857142857
2018,Kessi,0,14,0,1209.1,1558.02,0.4378209040460125,0.5621790959539875,0,0,0,3,13,14,0,4,0,1,16.0,82.0,14,0.0,0.16326530612244897,False,True,1528.4285714285713
2018,Marv,7,7,0,1305.08,1461.34,0.47570126291806825,0.5242987370819318,0,3,4,4,9,10,1,5,0,0,31.0,67.0,14,0.5,0.3163265306122449,False,False,1514.717142857143
2018,Ritz,13,1,0,1675.46,1425.76,0.5422002660859352,0.4577997339140648,4,11,14,0,0,0,4,0,3,0,77.0,21.0,14,0.9285714285714286,0.7857142857142857,True,False,1461.8057142857142
2018,Simi,4,10,0,1333.46,1514.84,0.46432043977482734,0.5356795602251727,1,1,3,4,9,11,1,5,0,2,30.0,68.0,14,0.2857142857142857,0.30612244897959184,False,True,1510.662857142857
2018,Tommy,8,6,0,1532.66,1455.6,0.5193084433479126,0.4806915566520874,2,5,6,2,3,8,3,3,0,0,52.0,46.0,14,0.5714285714285714,0.5306122448979592,True,False,1482.2057142857143
2019,Benni,7,7,0,1391.74,1319.42,0.5109363461005969,0.48906365389940304,3,4,7,3,6,7,3,2,1,1,46.0,52.0,14,0.5,0.46938775510204084,False,False,1413.8885714285714
2019,Erik,11,3,0,1641.36,1406.34,0.5413673626944238,0.4586326373055762,6,10,12,0,1,2,6,2,2,0,76.0,22.0,14,0.7857142857142857,0.7755102040816326,True,False,1378.2285714285715
2019,Juschka,6,8,0,1326.66,1450.14,0.47881466917671006,0.5211853308232899,0,2,4,2,6,10,0,3,1,1,36.0,62.0,14,0.42857142857142855,0.3673469387755102,False,True,1423.185714285714
