#,Player,Pos,Team,TTL,VORP
32,Coby Fleener,TE,FA,41.5,0
86,Chris Godwin Jr.,WR,TB,41.4,0
41,Matt Moore,QB,FA,41.3,0
87,Zay Jones,WR,ARI,41.1,0
88,Corey Coleman,WR,FA,40.7,0
89,Josh Bellamy,WR,FA,40.6,0
33,Stephen Anderson,TE,FA,39.8,0
71,Damien Williams,RB,FA,39.6,0
34,Luke Willson,TE,FA,39.3,0
72,Robert Kelley,RB,FA,39.2,0
90,Dede Westbrook,WR,FA,39,0
73,Corey Grant,RB,FA,38.9,0
91,Brice Butler,WR,FA,38.7,0
74,Shane Vereen,RB,FA,38.3,0
35,Ricky Seals-Jones,TE,FA,38.1,0
75,Charles Sims,RB,FA,37.8,0
92,Kenny Britt,WR,FA,37.6,0
93,Justin Hardy,WR,FA,36.9,0
76,Benny Cunningham Jr.,RB,FA,36.3,0
36,Gerald Everett,TE,FA,36.1,0
77,Jacquizz Rodgers,RB,FA,35.8,0
94,Johnny Holton,WR,FA,35.8,0
95,Ricardo Louis,WR,FA,35.7,0
37,Zach Miller,TE,FA,35.6,0
38,Tyler Higbee,TE,LAR,35.5,0
96,Corey Davis,WR,FA,35.5,0
97,Chris Moore,WR,WAS,35.3,0
78,Kyle Juszczyk,RB,SF,34.7,0
39,Darren Fells,TE,FA,34.5,0
42,Nick Foles,QB,FA,34.2,0
43,Kevin Hogan,QB,FA,33.8,0
44,Mike Glennon,QB,FA,33.7,0
40,Nick O'Leary,TE,FA,33.6,0
41,A.J. Derby,TE,FA,33.5,0
42,Jordan Reed,TE,FA,33.1,0
98,Taywan Taylor,WR,FA,32.9,0
79,Chris Carson,RB,FA,32.7,0
99,Jordan Matthews,TE,FA,32.2,0
80,Mike Tolbert,RB,FA,32,0
100,Jarius Wright,WR,FA,31.8,0
101,Chester Rogers,WR,FA,31.3,0
102,Dontrelle Inman,WR,FA,30.9,0
103,Aldrick Robinson,WR,FA,30.8,0
43,Adam Shaheen,TE,FA,30.7,0
81,Mike Davis,RB,FA,30.7,0
82,Wendell Smallwood,RB,FA,30.7,0
104,Terrelle Pryor Sr.,WR,FA,30,0
104,Andre Holmes,WR,FA,30,0
83,Malcolm Brown,RB,FA,29.8,0
45,T.J. Yates,QB,FA,29.6,0
44,Rhett Ellison,TE,FA,29.2,0
36,Nick Folk,K,NYJ,29,0
106,Jakeem Grant Sr.,WR,FA,28.9,0
45,Martellus Bennett,TE,FA,28.6,0
107,Russell Shepard,WR,FA,28.1,0
108,Josh Gordon,WR,FA,28,0
37,Travis Coons,K,FA,27,0
46,Sam Bradford,QB,FA,27,0
109,De'Anthony Thomas,WR,FA,26.7,0
46,Jonnu Smith,TE,PIT,26.5,0
84,Tion Green,RB,FA,26.4,0
47,Lance Kendricks,TE,FA,26.3,0
85,Terrance West,RB,FA,26.1,0
110,Mack Hollins,WR,NE,26.1,0
38,Cairo Santos,K,CHI,26,0
111,Tavon Austin,WR,FA,25.9,0
48,Jeff Heuerman,TE,FA,25.3,0
49,Virgil Green,TE,FA,24.5,0
50,Vance McDonald,TE,FA,24.3,0
51,Greg Olsen,TE,FA,24.1,0
86,Alfred Blue,RB,FA,24.1,0
52,Dion Sims,TE,FA,24,0
112,Michael Campanaro,WR,FA,23.9,0
53,Ryan Griffin,TE,FA,23.8,0
87,Danny Woodhead,RB,FA,23.7,0
113,Damiere Byrd,WR,FA,23.7,0
113,Jeremy Kerley,WR,FA,23.7,0
115,Alex Erickson,WR,FA,23.6,0
116,Kendrick Bourne,WR,SF,22.9,0
88,Tommy Bohanon,RB,FA,22.8,0
117,Rashard Higgins,WR,FA,22.8,0
89,Eddie Lacy,RB,FA,22.6,0
