#,Player,Pos,Team,TTL,VORP
161,Odell Beckham Jr.,WR,FA,5.5,0
82,Durham Smythe,TE,CHI,5.3,0
162,DeAndre Carter,WR,CLE,5.2,0
107,Sione Vaki,RB,DET,5.1,0
107,Ronnie Rivers,RB,LAR,5.1,0
107,Deuce Vaughn,RB,DEN,5.1,0
110,Will Shipley,RB,PHI,5,0
83,John Bates,TE,WAS,5,0
111,Michael Carter,RB,ARI,4.8,0
163,Tyquan Thornton,WR,KC,4.7,0
112,Jonathon Brooks,RB,CAR,4.5,0
164,Marquise Brown,WR,KC,4.5,0
164,Charlie Jones,WR,CIN,4.5,0
113,J.J. Taylor,RB,FA,4.4,0
166,Cody White,WR,SEA,4.4,0
84,Ben Sims,TE,MIN,4.2,0
43,Jude McAtamney,K,FA,4,0
85,Charlie Woerner,TE,ATL,4,0
86,Davis Allen,TE,LAR,3.9,0
87,Tip Reiman,TE,ARI,3.7,0
167,Xavier Smith,WR,LAR,3.6,0
167,Dee Eskridge,WR,MIA,3.6,0
88,Gerald Everett,TE,FA,3.6,0
169,Treylon Burks,WR,WAS,3.5,0
114,Travis Homer,RB,CHI,3.4,0
115,Rasheen Ali,RB,BAL,3.4,0
170,Britain Covey,WR,PHI,3.4,0
116,Jase McClellan,RB,FA,3.2,0
57,Davis Mills,QB,HOU,3.2,0
171,Alex Bachman,WR,LV,3.1,0
89,Tucker Fisk,TE,LAC,3.1,0
117,Dalvin Cook,RB,FA,3,0
172,Tim Jones,WR,JAC,3,0
172,Jacob Cowing,WR,SF,3,0
174,Dan Chisena,WR,CAR,2.9,0
90,Will Mallory,TE,IND,2.9,0
91,Greg Dulcich,TE,MIA,2.8,0
175,David Bell,WR,FA,2.7,0
175,Deven Thompkins,WR,ATL,2.7,0
58,Hendon Hooker,QB,FA,2.7,0
92,Peyton Hendershot,TE,FA,2.6,0
177,DJ Chark Jr.,WR,FA,2.5,0
118,Blake Watson,RB,TEN,2.3,0
118,Jermar Jefferson,RB,ARI,2.3,0
178,Anthony Gould,WR,IND,2.3,0
59,Taylor Heinicke,QB,FA,2.3,0
120,Jonathan Ward,RB,FA,2.2,0
121,Mike Boone,RB,FA,2.2,0
179,Ronnie Bell,WR,NO,2.2,0
179,Jamari Thrash,WR,CLE,2.2,0
179,Malachi Corley,WR,CLE,2.2,0
93,Luke Musgrave,TE,GB,2.2,0
93,Shane Zylstra,TE,DET,2.2,0
182,Austin Trammell,WR,JAC,2,0
183,Zay Jones,WR,ARI,1.9,0
122,MarShawn Lloyd,RB,GB,1.8,0
123,Aaron Shampklin,RB,FA,1.7,0
184,Mason Kinsey,WR,TEN,1.7,0
184,Chris Blair,WR,ATL,1.7,0
95,Tanner Conner,TE,MIA,1.6,0
186,Trenton Irwin,WR,NYJ,1.5,0
187,Casey Washington,WR,ATL,1.4,0
96,Josiah Deguara,TE,ARI,1.4,0
124,Raheem Blackshear,RB,FA,1.3,0
124,Terrell Jennings,RB,NE,1.3,0
188,Terrace Marshall Jr.,WR,FA,1.3,0
60,Nick Mullens,QB,JAC,1.3,0
189,Isaiah Hodgins,WR,NYG,1.2,0
189,River Cracraft,WR,WAS,1.2,0
61,Trey Lance,QB,LAC,1.2,0
97,Cam Grandy,TE,CIN,1.2,0
126,Tyreik McAllister,RB,FA,1.1,0
191,Grant DuBose,WR,FA,1.1,0
127,Myles Gaskin,RB,SEA,1,0
98,Jack Stoll,TE,NO,1,0
98,Dallin Holker,TE,FA,1,0
100,Eric Tomlinson,TE,FA,0.9,0
128,George Holani,RB,SEA,0.9,0
192,Brandon Johnson,WR,TB,0.9,0
192,Kendric Pryor,WR,CIN,0.9,0
194,Allen Robinson II,WR,FA,0.9,0
195,Ainias Smith,WR,CAR,0.8,0
62,Carson Wentz,QB,MIN,0.8,0
63,Kyle Allen,QB,DET,0.8,0
101,Ian Thomas,TE,LV,0.7,0
101,John Samuel Shenker,TE,FA,0.7,0
101,Jared Wiley,TE,KC,0.7,0
101,Geoff Swaim,TE,FA,0.7,0
101,Brevin Jordan,TE,HOU,0.7,0
196,Ramel Keyton,WR,FA,0.7,0
106,David Martin-Robinson,TE,TEN,0.6,0
197,Isaiah Williams,WR,NYJ,0.6,0
197,Jaelon Darden,WR,FA,0.6,0
197,Collin Johnson,WR,FA,0.6,0
197,John Ross,WR,FA,0.6,0
107,Ross Dwelley,TE,DET,0.5,0
107,Jody Fortson Jr.,TE,FA,0.5,0
107,Zach Davidson,TE,NYG,0.5,0
201,Tyler Scott,WR,LAR,0.5,0
201,Robbie Chosen,WR,WAS,0.5,0
129,Ke'Shawn Vaughn,RB,FA,0.4,0
203,Chris Conley,WR,FA,0.4,0
130,Darrynton Evans,RB,FA,0.3,0
110,John FitzPatrick,TE,GB,0.2,0
110,Marcedes Lewis,TE,DEN,0.2,0
131,British Brooks,RB,HOU,0.2,0
64,Sam Howell,QB,PHI,0.2,0
112,Jaheim Bell,TE,FA,0.1,0
204,James Proche II,WR,TEN,0.1,0
65,Josh Johnson,QB,WAS,0.1,0
113,James Winchester,TE,KC,0,0
113,Leroy Watson IV,TE,FA,0,0
113,Brayden Willis,TE,SF,0,0
113,Brady Russell,TE,SEA,0,0
113,Anthony Firkser,TE,DET,0,0
113,Robert Tonyan,TE,KC,0,0
113,Jake Tonges,TE,SF,0,0
113,Rodney Williams,TE,FA,0,0
113,Tanner McLachlan,TE,FA,0,0
113,Devin Culp,TE,TB,0,0
113,Thomas Odukoya,TE,NE,0,0
113,Jordan Matthews,TE,FA,0,0
113,Zack Kuntz,TE,FA,0,0
113,Colson Yankoff,TE,WAS,0,0
113,Baylor Cupp,TE,FA,0,0
113,Irv Smith Jr.,TE,FA,0,0
113,C.J. Uzomah,TE,FA,0,0
113,Teagan Quitoriano,TE,ATL,0,0
